<TICKER>,<PER>,<DATE>,<TIME>,<OPEN>,<HIGH>,<LOW>,<CLOSE>,<VOL>
AUDUSD,D,20170101,000000,0.7224500,0.7226000,0.7222500,0.7222500,18
AUDUSD,D,20170102,000000,0.7223500,0.7223500,0.7162000,0.7183500,491540
AUDUSD,D,20170103,000000,0.7184600,0.7241000,0.7178700,0.7221800,1477798
AUDUSD,D,20170104,000000,0.7222100,0.7284400,0.7210000,0.7282100,1779010
AUDUSD,D,20170105,000000,0.7282100,0.7356700,0.7269000,0.7339200,2277029
AUDUSD,D,20170106,000000,0.7339900,0.7355100,0.7284000,0.7302400,1901044
AUDUSD,D,20170107,000000,0.7302500,0.7303200,0.7289000,0.7299000,44667
AUDUSD,D,20170108,000000,0.7292000,0.7295000,0.7286000,0.7295000,547
AUDUSD,D,20170109,000000,0.7291500,0.7373800,0.7283000,0.7355800,1512381
AUDUSD,D,20170110,000000,0.7355800,0.7384700,0.7327000,0.7370200,1866175
AUDUSD,D,20170111,000000,0.7370300,0.7471700,0.7347000,0.7446100,2124252
AUDUSD,D,20170112,000000,0.7446200,0.7518300,0.7425000,0.7492800,2027832
AUDUSD,D,20170113,000000,0.7492700,0.7508400,0.7445000,0.7500100,1811546
AUDUSD,D,20170114,000000,0.7499700,0.7504000,0.7494000,0.7499100,32837
AUDUSD,D,20170115,000000,0.7496600,0.7508600,0.7471000,0.7485800,610
AUDUSD,D,20170116,000000,0.7485000,0.7505700,0.7454000,0.7474500,1610406
AUDUSD,D,20170117,000000,0.7474500,0.7564700,0.7461000,0.7562100,2210692
AUDUSD,D,20170118,000000,0.7562300,0.7568900,0.7500000,0.7511900,1897473
AUDUSD,D,20170119,000000,0.7511900,0.7574600,0.7489000,0.7558900,2144431
AUDUSD,D,20170120,000000,0.7558700,0.7588500,0.7513000,0.7551700,2139432
AUDUSD,D,20170121,000000,0.7551600,0.7559800,0.7546000,0.7554000,38607
AUDUSD,D,20170122,000000,0.7557800,0.7557900,0.7557800,0.7557900,3
AUDUSD,D,20170123,000000,0.7557900,0.7587900,0.7546000,0.7573400,1675721
AUDUSD,D,20170124,000000,0.7573400,0.7609000,0.7549000,0.7584100,1795418
AUDUSD,D,20170125,000000,0.7584000,0.7598300,0.7512000,0.7570700,1960915
AUDUSD,D,20170126,000000,0.7571300,0.7585000,0.7517000,0.7534800,1901726
AUDUSD,D,20170127,000000,0.7534800,0.7572900,0.7507000,0.7548300,1880812
AUDUSD,D,20170128,000000,0.7548400,0.7550100,0.7540000,0.7543500,37009
AUDUSD,D,20170129,000000,0.7536000,0.7562000,0.7535000,0.7555000,427
AUDUSD,D,20170130,000000,0.7555000,0.7567000,0.7524000,0.7549800,1667887
AUDUSD,D,20170131,000000,0.7549000,0.7605700,0.7538000,0.7580800,1852929
AUDUSD,D,20170201,000000,0.7580800,0.7596900,0.7547000,0.7582500,1718857
AUDUSD,D,20170202,000000,0.7582500,0.7696100,0.7573000,0.7662000,1571815
AUDUSD,D,20170203,000000,0.7662700,0.7695300,0.7619000,0.7683000,1693951
AUDUSD,D,20170204,000000,0.7682300,0.7686700,0.7669000,0.7679900,33411
AUDUSD,D,20170205,000000,0.7677000,0.7680600,0.7657000,0.7664400,511
AUDUSD,D,20170206,000000,0.7666000,0.7683200,0.7624000,0.7657700,1481168
