<TICKER>,<PER>,<DATE>,<TIME>,<OPEN>,<HIGH>,<LOW>,<CLOSE>,<VOL>
GBPUSD,D,20170101,000000,1.2337000,1.2337000,1.2328000,1.2330000,22
GBPUSD,D,20170102,000000,1.2331000,1.2355000,1.2277000,1.2284000,545973
GBPUSD,D,20170103,000000,1.2282000,1.2307000,1.2199000,1.2233000,1613284
GBPUSD,D,20170104,000000,1.2233000,1.2353000,1.2219000,1.2324000,1876601
GBPUSD,D,20170105,000000,1.2325000,1.2432000,1.2269000,1.2414000,2359053
GBPUSD,D,20170106,000000,1.2416000,1.2431000,1.2259000,1.2282000,1980676
GBPUSD,D,20170107,000000,1.2282000,1.2293000,1.2277000,1.2283000,45401
GBPUSD,D,20170108,000000,1.2266000,1.2266000,1.2234000,1.2248000,954
GBPUSD,D,20170109,000000,1.2249000,1.2271000,1.2123000,1.2162000,1644803
GBPUSD,D,20170110,000000,1.2162000,1.2190000,1.2104000,1.2167000,2055905
GBPUSD,D,20170111,000000,1.2168000,1.2272000,1.2037000,1.2200000,2277916
GBPUSD,D,20170112,000000,1.2201000,1.2317000,1.2150000,1.2173000,2266516
GBPUSD,D,20170113,000000,1.2173000,1.2233000,1.2120000,1.2187000,2025146
GBPUSD,D,20170114,000000,1.2187000,1.2202000,1.2177000,1.2181000,40352
GBPUSD,D,20170115,000000,1.2061000,1.2061000,1.1982000,1.1986000,823
GBPUSD,D,20170116,000000,1.1983000,1.2085000,1.1983000,1.2043000,2040857
GBPUSD,D,20170117,000000,1.2043000,1.2415000,1.2016000,1.2396000,2739593
GBPUSD,D,20170118,000000,1.2396000,1.2416000,1.2251000,1.2267000,2265317
GBPUSD,D,20170119,000000,1.2267000,1.2341000,1.2250000,1.2330000,2286705
GBPUSD,D,20170120,000000,1.2331000,1.2381000,1.2259000,1.2360000,2295983
GBPUSD,D,20170121,000000,1.2360000,1.2378000,1.2356000,1.2368000,51128
GBPUSD,D,20170122,000000,1.2378000,1.2378000,1.2378000,1.2378000,1
GBPUSD,D,20170123,000000,1.2378000,1.2509000,1.2373000,1.2504000,1819134
GBPUSD,D,20170124,000000,1.2503000,1.2546000,1.2417000,1.2505000,2241158
GBPUSD,D,20170125,000000,1.2505000,1.2639000,1.2490000,1.2636000,2160571
GBPUSD,D,20170126,000000,1.2636000,1.2674000,1.2555000,1.2586000,2207284
GBPUSD,D,20170127,000000,1.2586000,1.2606000,1.2515000,1.2553000,2073815
GBPUSD,D,20170128,000000,1.2553000,1.2554000,1.2538000,1.2546000,46235
GBPUSD,D,20170129,000000,1.2549000,1.2588000,1.2549000,1.2586000,322
GBPUSD,D,20170130,000000,1.2587000,1.2601000,1.2464000,1.2483000,1911243
GBPUSD,D,20170131,000000,1.2483000,1.2596000,1.2411000,1.2582000,2327741
GBPUSD,D,20170201,000000,1.2583000,1.2680000,1.2542000,1.2658000,2140961
GBPUSD,D,20170202,000000,1.2658000,1.2706000,1.2515000,1.2537000,1932017
GBPUSD,D,20170203,000000,1.2537000,1.2540000,1.2455000,1.2483000,2021035
GBPUSD,D,20170204,000000,1.2483000,1.2486000,1.2471000,1.2486000,48063
GBPUSD,D,20170205,000000,1.2491000,1.2507000,1.2486000,1.2490000,307
GBPUSD,D,20170206,000000,1.2490000,1.2499000,1.2425000,1.2463000,1726607
GBPUSD,D,20170207,000000,1.2464000,1.2546000,1.2345000,1.2512000,1876310
GBPUSD,D,20170208,000000,1.2511000,1.2550000,1.2472000,1.2526000,1826138
GBPUSD,D,20170209,000000,1.2528000,1.2582000,1.2488000,1.2501000,1772458
GBPUSD,D,20170210,000000,1.2501000,1.2521000,1.2438000,1.2486000,1628705
GBPUSD,D,20170211,000000,1.2486000,1.2491000,1.2479000,1.2486000,39978
GBPUSD,D,20170212,000000,1.2486000,1.2486000,1.2473000,1.2473000,17
GBPUSD,D,20170213,000000,1.2473000,1.2540000,1.2471000,1.2526000,1514406
GBPUSD,D,20170214,000000,1.2526000,1.2549000,1.2442000,1.2468000,1809167
GBPUSD,D,20170215,000000,1.2469000,1.2475000,1.2389000,1.2455000,1677837
GBPUSD,D,20170216,000000,1.2455000,1.2524000,1.2450000,1.2487000,1614769
GBPUSD,D,20170217,000000,1.2487000,1.2511000,1.2386000,1.2413000,1460550
GBPUSD,D,20170218,000000,1.2413000,1.2423000,1.2403000,1.2407000,43351
GBPUSD,D,20170219,000000,1.2409000,1.2424000,1.2409000,1.2410000,115
GBPUSD,D,20170220,000000,1.2412000,1.2483000,1.2402000,1.2465000,1274341
GBPUSD,D,20170221,000000,1.2465000,1.2481000,1.2399000,1.2471000,1435231
GBPUSD,D,20170222,000000,1.2472000,1.2508000,1.2415000,1.2459000,1723583
GBPUSD,D,20170223,000000,1.2459000,1.2561000,1.2425000,1.2550000,1594564
GBPUSD,D,20170224,000000,1.2550000,1.2570000,1.2446000,1.2457000,1571405
GBPUSD,D,20170225,000000,1.2457000,1.2465000,1.2451000,1.2461000,32609
GBPUSD,D,20170226,000000,1.2457000,1.2481000,1.2457000,1.2472000,356
GBPUSD,D,20170227,000000,1.2473000,1.2479000,1.2382000,1.2443000,1520547
GBPUSD,D,20170228,000000,1.2443000,1.2471000,1.2397000,1.2409000,1480552
GBPUSD,D,20170301,000000,1.2410000,1.2410000,1.2279000,1.2285000,1717042
GBPUSD,D,20170302,000000,1.2285000,1.2308000,1.2241000,1.2264000,1530689
GBPUSD,D,20170303,000000,1.2264000,1.2300000,1.2213000,1.2298000,1591439
GBPUSD,D,20170304,000000,1.2299000,1.2300000,1.2284000,1.2290000,46122
GBPUSD,D,20170305,000000,1.2292000,1.2294000,1.2282000,1.2286000,319
GBPUSD,D,20170306,000000,1.2285000,1.2300000,1.2221000,1.2234000,1312917
GBPUSD,D,20170307,000000,1.2233000,1.2253000,1.2168000,1.2206000,1428404
GBPUSD,D,20170308,000000,1.2206000,1.2214000,1.2137000,1.2165000,1426998
GBPUSD,D,20170309,000000,1.2167000,1.2196000,1.2133000,1.2169000,1666425
GBPUSD,D,20170310,000000,1.2170000,1.2189000,1.2137000,1.2173000,1499306
GBPUSD,D,20170311,000000,1.2173000,1.2178000,1.2158000,1.2162000,47476
GBPUSD,D,20170312,000000,1.2167000,1.2176000,1.2152000,1.2156000,216
GBPUSD,D,20170313,000000,1.2163000,1.2251000,1.2151000,1.2218000,1523259
GBPUSD,D,20170314,000000,1.2215000,1.2223000,1.2107000,1.2149000,1350885
GBPUSD,D,20170315,000000,1.2149000,1.2310000,1.2143000,1.2292000,1485519
GBPUSD,D,20170316,000000,1.2292000,1.2377000,1.2238000,1.2356000,1756778
GBPUSD,D,20170317,000000,1.2357000,1.2405000,1.2321000,1.2395000,1457290
GBPUSD,D,20170318,000000,1.2396000,1.2396000,1.2392000,1.2394000,39
GBPUSD,D,20170319,000000,1.2388000,1.2389000,1.2379000,1.2384000,281
GBPUSD,D,20170320,000000,1.2380000,1.2436000,1.2333000,1.2358000,1290605
GBPUSD,D,20170321,000000,1.2359000,1.2495000,1.2339000,1.2478000,1603284
GBPUSD,D,20170322,000000,1.2477000,1.2506000,1.2422000,1.2483000,1535697
GBPUSD,D,20170323,000000,1.2483000,1.2531000,1.2460000,1.2520000,1484504
GBPUSD,D,20170324,000000,1.2521000,1.2521000,1.2466000,1.2471000,1384523
GBPUSD,D,20170325,000000,1.2462000,1.2467000,1.2462000,1.2467000,2
GBPUSD,D,20170326,000000,1.2481000,1.2499000,1.2476000,1.2487000,609
GBPUSD,D,20170327,000000,1.2490000,1.2616000,1.2487000,1.2558000,1456323
GBPUSD,D,20170328,000000,1.2559000,1.2596000,1.2439000,1.2445000,1428275
GBPUSD,D,20170329,000000,1.2445000,1.2477000,1.2375000,1.2433000,1615752
GBPUSD,D,20170330,000000,1.2432000,1.2525000,1.2402000,1.2467000,1372225
GBPUSD,D,20170331,000000,1.2467000,1.2559000,1.2432000,1.2545000,1551171
GBPUSD,D,20170401,000000,1.2546000,1.2550000,1.2543000,1.2543000,24
GBPUSD,D,20170402,000000,1.2540000,1.2550000,1.2535000,1.2542000,426
GBPUSD,D,20170403,000000,1.2537000,1.2556000,1.2464000,1.2484000,1307407
GBPUSD,D,20170404,000000,1.2485000,1.2496000,1.2417000,1.2438000,1329362
GBPUSD,D,20170405,000000,1.2438000,1.2498000,1.2421000,1.2483000,1356902
GBPUSD,D,20170406,000000,1.2482000,1.2506000,1.2449000,1.2469000,1151554
GBPUSD,D,20170407,000000,1.2467000,1.2478000,1.2363000,1.2377000,1495606
GBPUSD,D,20170408,000000,1.2370000,1.2370000,1.2370000,1.2370000,2
GBPUSD,D,20170409,000000,1.2374000,1.2385000,1.2374000,1.2382000,142
GBPUSD,D,20170410,000000,1.2380000,1.2429000,1.2363000,1.2414000,1125064
GBPUSD,D,20170411,000000,1.2414000,1.2495000,1.2402000,1.2491000,1372802
GBPUSD,D,20170412,000000,1.2489000,1.2548000,1.2477000,1.2537000,1632815
GBPUSD,D,20170413,000000,1.2535000,1.2575000,1.2498000,1.2502000,1530058
GBPUSD,D,20170414,000000,1.2501000,1.2535000,1.2497000,1.2523000,1022457
GBPUSD,D,20170415,000000,1.2522000,1.2524000,1.2517000,1.2517000,20
GBPUSD,D,20170416,000000,1.2528000,1.2534000,1.2523000,1.2528000,186
GBPUSD,D,20170417,000000,1.2529000,1.2596000,1.2522000,1.2564000,1034884
GBPUSD,D,20170418,000000,1.2565000,1.2906000,1.2513000,1.2840000,1841568
GBPUSD,D,20170419,000000,1.2840000,1.2860000,1.2768000,1.2777000,1661199
GBPUSD,D,20170420,000000,1.2775000,1.2847000,1.2770000,1.2812000,1494011
GBPUSD,D,20170421,000000,1.2813000,1.2835000,1.2755000,1.2808000,1384459
GBPUSD,D,20170423,000000,1.2840000,1.2868000,1.2797000,1.2837000,773
GBPUSD,D,20170424,000000,1.2834000,1.2840000,1.2771000,1.2792000,1529820
GBPUSD,D,20170425,000000,1.2794000,1.2846000,1.2772000,1.2841000,1380501
GBPUSD,D,20170426,000000,1.2840000,1.2864000,1.2803000,1.2846000,1389701
GBPUSD,D,20170427,000000,1.2847000,1.2917000,1.2837000,1.2904000,1385199
GBPUSD,D,20170428,000000,1.2904000,1.2966000,1.2885000,1.2948000,1543597
GBPUSD,D,20170429,000000,1.2945000,1.2949000,1.2945000,1.2945000,17
GBPUSD,D,20170430,000000,1.2950000,1.2955000,1.2927000,1.2942000,389
GBPUSD,D,20170501,000000,1.2930000,1.2943000,1.2880000,1.2884000,996132
GBPUSD,D,20170502,000000,1.2884000,1.2940000,1.2861000,1.2938000,1319893
GBPUSD,D,20170503,000000,1.2936000,1.2948000,1.2863000,1.2866000,1459735
GBPUSD,D,20170504,000000,1.2866000,1.2933000,1.2829000,1.2921000,1503708
GBPUSD,D,20170505,000000,1.2922000,1.2984000,1.2898000,1.2978000,1551730
GBPUSD,D,20170506,000000,1.2980000,1.2985000,1.2980000,1.2985000,2
GBPUSD,D,20170507,000000,1.2979000,1.2983000,1.2967000,1.2981000,821
GBPUSD,D,20170508,000000,1.2979000,1.2989000,1.2927000,1.2940000,1524901
GBPUSD,D,20170509,000000,1.2936000,1.2961000,1.2901000,1.2931000,1594474
GBPUSD,D,20170510,000000,1.2935000,1.2988000,1.2925000,1.2937000,1594645
GBPUSD,D,20170511,000000,1.2935000,1.2949000,1.2847000,1.2884000,1616881
GBPUSD,D,20170512,000000,1.2886000,1.2900000,1.2843000,1.2892000,1516637
GBPUSD,D,20170513,000000,1.2889000,1.2889000,1.2883000,1.2886000,22
GBPUSD,D,20170514,000000,1.2886000,1.2886000,1.2873000,1.2880000,270
GBPUSD,D,20170515,000000,1.2880000,1.2941000,1.2877000,1.2894000,1568568
GBPUSD,D,20170516,000000,1.2892000,1.2958000,1.2864000,1.2916000,1751800
GBPUSD,D,20170517,000000,1.2916000,1.2991000,1.2904000,1.2964000,1809265
GBPUSD,D,20170518,000000,1.2966000,1.3048000,1.2887000,1.2937000,2086076
GBPUSD,D,20170519,000000,1.2936000,1.3040000,1.2921000,1.3035000,1531579
GBPUSD,D,20170520,000000,1.3032000,1.3033000,1.3028000,1.3028000,6
GBPUSD,D,20170521,000000,1.3007000,1.3012000,1.2976000,1.2993000,679
GBPUSD,D,20170522,000000,1.2990000,1.3043000,1.2963000,1.3000000,1465183
GBPUSD,D,20170523,000000,1.2998000,1.3034000,1.2951000,1.2959000,1703397
GBPUSD,D,20170524,000000,1.2958000,1.2999000,1.2924000,1.2969000,1552827
GBPUSD,D,20170525,000000,1.2971000,1.3015000,1.2929000,1.2941000,1460451
GBPUSD,D,20170526,000000,1.2941000,1.2947000,1.2774000,1.2802000,1627093
GBPUSD,D,20170527,000000,1.2796000,1.2799000,1.2796000,1.2799000,11
