iter	MultiClass
0	1.507533281
1	1.434307708
2	1.368713082
3	1.312157654
4	1.271311041
5	1.231286276
6	1.200163519
7	1.166922936
8	1.138157042
9	1.106727145
10	1.084476185
11	1.058264086
12	1.036859181
13	1.020616998
14	1.00554954
15	0.9877692117
16	0.9763413886
17	0.9641937385
18	0.9513868757
19	0.9379197448
20	0.9255288463
21	0.9143517558
22	0.8985753644
23	0.8907041879
24	0.8756820635
25	0.8670406451
26	0.8562365538
27	0.8453002747
28	0.8329211257
29	0.8218804774
30	0.8104832219
31	0.8041151904
32	0.8002021357
33	0.7942774398
34	0.7858479376
35	0.7772356563
36	0.7732459202
37	0.7705792038
38	0.7608274746
39	0.7551486805
40	0.7500670311
41	0.7423420687
42	0.7371915055
43	0.7310454128
44	0.7277101722
45	0.7265352725
46	0.7204465219
47	0.7159880615
48	0.7143208932
49	0.7079175789
50	0.7055621961
51	0.7007328442
52	0.6977538282
53	0.6946024103
54	0.693275654
55	0.6915278543
56	0.6885567279
57	0.6853277285
58	0.6808926559
59	0.6754361605
60	0.670496306
61	0.6681014687
62	0.6618494779
63	0.6597033126
64	0.6572642521
65	0.6560490944
66	0.6535758322
67	0.648626006
68	0.6467926513
69	0.6443858333
70	0.6423780705
71	0.6415832304
72	0.6369983982
73	0.6348310697
74	0.631905957
75	0.6298072824
76	0.6278035323
77	0.624509703
78	0.6212162359
79	0.6178988549
80	0.6142213181
81	0.6107677642
82	0.6090577277
83	0.6079894343
84	0.6064491496
85	0.6046406291
86	0.6033903353
87	0.6005528571
88	0.5986071053
89	0.5946617151
90	0.5929718927
91	0.5899098349
92	0.5872536085
93	0.5857874352
94	0.5814002596
95	0.5780270749
96	0.5722324539
97	0.566026481
98	0.5630955561
99	0.5614734774
100	0.5571575573
101	0.5562742313
102	0.5556137481
103	0.5539416931
104	0.5508985594
105	0.5443911063
106	0.5412600773
107	0.5382418693
108	0.5372427584
109	0.5330733399
110	0.5304589338
111	0.5288858495
112	0.5261879179
113	0.5232690629
114	0.5202853166
115	0.5194163078
116	0.5184979277
117	0.5150563043
118	0.5136929049
119	0.5095758982
120	0.509093829
121	0.5064613933
122	0.5016411784
123	0.4993512633
124	0.4971394511
125	0.4945284489
126	0.4877975104
127	0.4866106619
128	0.4851809754
129	0.4834736151
130	0.4813769705
131	0.4745212471
132	0.4709354426
133	0.4690001682
134	0.46648176
135	0.4631686845
136	0.4621860425
137	0.4607819226
138	0.4591904096
139	0.4577825536
140	0.4553731814
141	0.4544455764
142	0.4522206175
143	0.4510721636
144	0.4505227804
145	0.4480092289
146	0.44682501
147	0.4457648163
148	0.4443221638
149	0.4422910185
150	0.4411983318
151	0.4405812247
152	0.4391014846
153	0.4371927887
154	0.4339276401
155	0.4326590972
156	0.4296622196
157	0.4286078485
158	0.4273774414
159	0.4252170968
160	0.4238376195
161	0.4227122606
162	0.4209303086
163	0.4199440524
164	0.4191618276
165	0.418049182
166	0.4173687377
167	0.4160337427
168	0.4148310693
169	0.4143000986
170	0.413372719
171	0.4120192422
172	0.4115821593
173	0.4099338421
174	0.4091875957
175	0.4087583802
176	0.4076218957
177	0.4068601393
178	0.4059194989
179	0.4030449905
180	0.4025925326
181	0.4008267073
182	0.400073021
183	0.3995665911
184	0.3981935147
185	0.3963223804
186	0.3957822266
187	0.3949527436
188	0.3915502366
189	0.3903178478
190	0.3898039504
191	0.3883940488
192	0.3878768699
193	0.3870518019
194	0.3864127219
195	0.3854213058
196	0.3845908852
197	0.3842553335
198	0.3836431872
199	0.383205969
200	0.3815917381
201	0.3805118957
202	0.379474331
203	0.3790333295
204	0.3770917816
205	0.376157917
206	0.3742484022
207	0.3725586921
208	0.3713702163
209	0.3702409819
210	0.3688958911
211	0.3682998317
212	0.3675095533
213	0.3664803649
214	0.3652915582
215	0.3645764838
216	0.3637896463
217	0.3621385389
218	0.3616776858
219	0.3613662404
220	0.3605385845
221	0.3601243215
222	0.359294975
223	0.358395751
224	0.3579167251
225	0.3572350495
226	0.356536248
227	0.3550061316
228	0.3546252718
229	0.3538372829
230	0.3531831942
231	0.3526483148
232	0.3522619875
233	0.3511837446
234	0.3507378531
235	0.350195036
236	0.3494396343
237	0.3480997054
238	0.3476683986
239	0.3472850138
240	0.3465301799
241	0.3460122068
242	0.345140392
243	0.3446340413
244	0.3441781992
245	0.3438932749
246	0.3433261294
247	0.3424110163
248	0.3415430771
249	0.3399156986
250	0.3396258658
251	0.3391564718
252	0.3388670144
253	0.3384915529
254	0.3374758807
255	0.3371168942
256	0.3365038649
257	0.3358319201
258	0.335400934
259	0.3351073691
260	0.3345687476
261	0.3341159617
262	0.333636114
263	0.3329329576
264	0.3323441049
265	0.3319201912
266	0.3309168661
267	0.3300195964
268	0.3297071817
269	0.3291897583
270	0.3288317891
271	0.3280920529
272	0.3278241892
273	0.3275154804
274	0.3272427984
275	0.3268777113
276	0.3265577106
277	0.3256132543
278	0.3250660992
279	0.3245688025
280	0.3234875211
281	0.3229504412
282	0.322650478
283	0.322319692
284	0.3215919398
285	0.3192703768
286	0.318591928
287	0.3183228461
288	0.316822437
289	0.315785726
290	0.3153334026
291	0.3149817064
292	0.3121294533
293	0.3116297942
294	0.3113272006
295	0.31020739
296	0.309089044
297	0.3083512836
298	0.3078483016
299	0.3076288491
300	0.3071539906
301	0.3068493934
302	0.3059058384
303	0.3055233471
304	0.3051525148
305	0.3046713907
306	0.3041093365
307	0.3038616532
