Биграмма,Вес
длинные позиций	,18.213269325873828
восходящего движение,6.605941068256073
сглаженная вверх,6.185501186547719
нисходящая коррекция,5.853877674064302
продаж рекомендуется,5.59214191405517
рассматривать длинные,5.427761779850546
оставались длинные,4.991296054616605
покупки целом,4.940506183673036
движение вверх,4.0940630983589275
восходящего тенденций,4.088868148462564
открытия длинные,3.9780156396329396
восходящего трендовые,3.0021717580502236
уровень сопротивления,2.9762684135195228
открывать длинные,2.9343957063341746
продолжает восходящего,2.920233851955363
оставались покупки,2.8650795487414045
дальнейшее рост,2.5940730842598922
располагался выше,2.3501713920797025
бычий сигналов,2.259076478667075
возобновления восходящего,2.0558658744170426
длинные позиций,18.213269325873828
приоритет длинные,1.8316374405303837
сохраняет восходящего,1.7251845220481996
коротких позиций,-16.791241002148396
нисходящая движение,-6.283697717604336
восходящего коррекция,-5.57820567102025
нисходящая тенденций,-4.451758917511436
новый нисходящая,-4.294507339819239
рассматривать коротких,-4.288266547934953
движение вниз,-3.8912948708338218
продаж целом,-3.7527607082327763
открывать коротких,-3.710323383463557
открытия коротких,-3.627057900420887
нисходящая трендовые,-3.0348666398213258
возобновят нисходящая,-2.8843717493124923
давление пары,-2.723159680421529
оставались коротких,-2.496710483929518
новый коротких,-2.2797707125949933
падению котировок,-2.1896298244135624
продолжает нисходящая,-2.011526635325937
коротких позиций,-16.791241002148396
приоритет коротких,-1.917820250571143
пары снизилась,-1.871359911394764
возобновления нисходящая,-1.8680371164928375
таймфрейме пары,-1.862989551821908
