"Одиночное слово" Вес
пятничный -3.6130856329477803
долгосрочной -3.567385766348653
вышеуказанного -3.477752237968742
формируем -3.1989207152299275
втором -3.1348948477284155
медведи -3.0350216025468075
намерен -3.0034455268342453
восходящий -2.8873288712657437
прежним -2.8316089671568228
сдерживанию -2.822260345554084
пользования -2.7839153589769765
итоговые -2.7498453326058456
выглядит -2.7264387408926565
укрепился -2.697732980798653
руководители -2.682591596970854
поводом -2.6511062012395348
вчера -2.6480264623583043
активностью -2.605516692392323
объявление -2.603887878142106
медленными -2.5919519644922144
рыночной -2.5865678675010324
рыночных -2.575093099315302
удержать -2.562575501511826
активно -2.546650853048806
истории -2.521985542317693
повторил -2.5103852052719673
развернуться -2.4969256854436472
сектор -2.4890341116451093
картины -2.4817597122707995
производительности -2.453758190893959
реальную -2.451311264211657
минимум -2.4463678160381424
лимита -2.421150582277513
покупателями -2.413667147021494
консолидируется -2.404487224824009
фунтов -2.4039094530283958
филадельфия -2.3923703830806056
внешний -2.3916231380910635
обвалилась -2.3643562784294554
сильным -2.3543615090204346
нагрузку -2.3518209306402964
указывали -2.3327023212858684
колебаться -2.3265087707942396
продолжила -2.3235706599678947
создала -2.310248430680566
получает -2.3062772943036656
пятничных -2.305709343744872
первичном -2.288177748517443
очередная -2.2874630222114702
защитные -2.267088086958625
технической -2.2479955009035115
рискованных -2.2404540491246556
премий -2.2385095268815065
западных -2.238257457920829
вносить -2.2347778933571085
экономиста -2.2296256875813607
антирекорды -2.2275712664095084
марки -2.2225434900630536
формирования -2.2218942754582858
процесс -2.2080807060181344
столкнет -2.2078348808507973
покидать -2.1924166105316534
бума -2.1904303018062934
ущерб -2.1888847313467013
материалов -2.1884019374854526
настоящий -2.1838906168468366
случай -2.1814913844322272
онлайн -2.178620226584508
удивить -2.177562615763767
потенциал -2.1662726681573456
фьючерсов -2.1658172150959025
администрации -2.165302605304892
пике -2.1564167793547586
справились -2.1508775579692756
нынешний -2.1413145760852226
сообщило -2.140738714815389
консолидации -2.1400282397376893
скорость -2.1290764472257777
усилением -2.1230399363817045
недельный -2.122256575251679
официального -2.1192258545938234
друг -2.1165187818491087
докупаем -2.1143248942134254
районе -2.1075761925843737
конус -2.1013282440324064
победой -2.1006046451610203
фиксируют -2.0998107660326273
превысив -2.096116889485301
узнаем -2.092425768464888
заверил -2.0912696205069947
протокола -2.08541977193787
возможный -2.078689511279997
объ -2.078686333706236
закрыты -2.0762130252854316
испытаний -2.07598015142532
покупка -2.075406012871839
права -2.0753323873401968
объясняется -2.0733664736976527
тройскую -2.070200367023431
катастрофически -2.0674509484528034
опционам -2.0666891777249194
чувствовать -2.056842783562985
прогнозируется -2.0556776679662154
протестующих -2.0554248882514496
динамикой -2.0548680212255865
резкого -2.054594847306701
бурно -2.0544715418407247
боятся -2.0495251991116366
открытия -2.0491174856758905
падение -2.0475846690069486
июле -2.0400767591482905
европейскую -2.0395981457915275
основное -2.036213328096863
монетарного -2.0356622762237566
публикуемые -2.034499458755174
северные -2.0335342281919866
какую -2.0311989349609667
предложения -2.0277312687101556
национальную -2.02619742408267
можем -2.014977426965017
официальные -2.0138271719882206
крупная -2.0117929737060143
сланцевых -2.0105542048352874
квоты -2.0104789310452533
фондовом -2.0057323961781903
хочется -2.004126488180059
бычьей -1.999997762571052
прежде -1.9977860354009458
действуют -1.9972264268515059
ожидал -1.996586431909581
мосбиржи -1.9927710496887816
отличается -1.9922515681144588
устойчивым -1.991483776692588
гринбеку -1.9786693300113691
подрасти -1.9760518435159866
могли -1.9728925205618544
отсчет -1.9719627165061229
смотрим -1.9687670857923443
итак -1.9666596574283388
значительная -1.9655562621481455
еврокомиссия -1.9621046695028002
цели -1.9588931062737278
штате -1.9526521455411687
оставит -1.9524210627139187
превысят -1.9439339377338067
граждан -1.9354854149731227
совпадает -1.9311216057654221
кубометров -1.9310443353700977
снизить -1.9261910966025855
расходов -1.924788657783981
предшествующую -1.923584878750859
взгляды -1.9172756599802434
занимать -1.9108551674013587
паузе -1.907993064398628
страх -1.9052648488734085
замедлится -1.901630770145544
статистикой -1.9005139776720865
пришлось -1.8966861970178017
предыдущий -1.8962102510775234
серьезной -1.8958842708098722
скачку -1.8953835527171308
энергоносителей -1.8892072661910246
урана -1.8873711605379944
явный -1.884000483135694
работа -1.8834778207397116
порадовать -1.8826950648156178
релизов -1.8785239939602152
зарплат -1.8771509066356815
камнем -1.875457441106018
кво -1.8722405015172565
курсом -1.8715277036027278
серии -1.869846391134019
последующим -1.8658620320824664
канадских -1.86363728613249
индию -1.862497554666105
подведения -1.8618214805574815
меняет -1.8614699915770665
увеличению -1.854223534652039
сондерс -1.8535706348696377
раньше -1.8496518102783623
уверенный -1.8492333426538186
дороже -1.8474579771098374
необходимый -1.8463667418581355
пересмотрел -1.846277420888772
масштабные -1.8428066074097462
годовая -1.8373827457682106
влияют -1.836768426648946
важное -1.8359725932335138
гораздо -1.8358806030420352
композитный -1.8331722735120377
кандидатов -1.8331642167974918
замедлить -1.8299683927628914
защиту -1.821917076335318
америки -1.818510949548083
рассматриваемый -1.816435397616764
высок -1.8159872272471613
ранним -1.8141406299633467
оперативно -1.812583831132409
прозвучало -1.8125096023520166
находился -1.8122678779184573
паники -1.8095777567793356
экономиками -1.803178162684127
потерь -1.801542773634424
исключать -1.800840115872942
пошлины -1.7997350639927665
долларовым -1.7989406493596958
импульсно -1.796694146841458
геополитических -1.7949062101444728
тормозит -1.7935631282925537
панику -1.7909352499352824
всплеска -1.7907089725136984
сокращения -1.788979022859742
горнодобывающей -1.7880242692325277
относительно -1.78678910945201
британию -1.7851781348653035
свидетельством -1.783394922135026
всему -1.782818864156253
начинают -1.782400251195506
продолжится -1.7812850515144028
поставок -1.780060329114567
март -1.7783730457315006
свежих -1.775444441195095
дешеветь -1.7746926042927147
сколько -1.7706025586322993
существенные -1.769129423519522
прорвать -1.7687184108196436
июньское -1.7677746631660964
обладают -1.7659542749538648
давали -1.7654592072330604
проявил -1.765389108798204
среднесрочной -1.7611787959816758
повторения -1.7603756443595495
ремонт -1.7591430027620587
сорта -1.7575760604073385
действия -1.754822437683718
потребительских -1.7541199960904101
возвращает -1.7506766196075088
продолжению -1.7495545900270755
монетарная -1.7492930613986666
объемам -1.7485285407699551
иными -1.7469979173597876
внутренние -1.7465871700426676
значении -1.7452257289564463
серебра -1.7443939034672626
кристины -1.7433277409016599
поддержек -1.743231626756652
верить -1.7432178729125212
видно -1.741192223474134
пика -1.7411736405345966
многолетнего -1.7406883499151142
среду -1.7400187479472653
сроков -1.7399162101067
сдержать -1.739527896874602
содержатся -1.739328041568369
контракты -1.7381044438736937
ждал -1.7378956593738062
цифровыми -1.7371175402903254
завтрашний -1.7361780570901046
вышло -1.736129646339093
пристальное -1.7351299079369245
израиля -1.7347251741418088
повлияют -1.7344018776397265
прогнозные -1.733814832540949
частях -1.7328802786601598
продолжены -1.7283196968506396
короткие -1.727632753429215
понимаем -1.7267240154810224
ради -1.719770208322521
быки -1.7183912084318371
собственного -1.7182694394355333
информации -1.7182318135241457
возвращаясь -1.718221273366867
вышеуказанные -1.7180521585375546
некоммерческие -1.7172975064012261
октябре -1.717083100227061
контрактов -1.714318810941428
спадом -1.713935564779517
носила -1.7138560614061629
народа -1.713749746118029
взаимоотношений -1.7129586066201763
основных -1.7118826347113554
обострения -1.7115500424369645
опубликованы -1.7108900855654818
повышенных -1.7106150523366759
чиновники -1.7097317042874678
смене -1.7062499005710388
америка -1.7051781462221092
рекордно -1.7042588100743252
упорно -1.7037757876860677
публикуются -1.702088508981265
признала -1.700726337893486
триллион -1.6979609524310137
комбинации -1.6977591708461304
торгов -1.6973220809030913
такую -1.6965494820441442
разнонаправленных -1.69550772740607
аналогичными -1.6935552061792063
наоборот -1.69277817901158
пробой -1.6893244120308477
нижний -1.6892778212071728
надеяться -1.6847571819829248
мечтать -1.6826601754949722
приняли -1.6798964942756993
четко -1.6796719934285331
вестись -1.6781909818125473
президент -1.677729551623293
третьей -1.6762523831592426
пройти -1.6758098131148074
понижать -1.6722817199927364
летний -1.6718665907193178
затем -1.671017880565899
перезапустить -1.6708465439870315
орра -1.6696028641392948
индикаторы -1.6674693964396778
японского -1.6643044539754825
увеличилось -1.6632546347462347
многочисленные -1.6625315570041583
негативными -1.662062774726487
минске -1.6616555057322808
новгород -1.6614685239467568
послужить -1.6613301642510625
стать -1.6611157167931967
минимальных -1.65910242546655
промежуточной -1.6586278043476532
прогнозировал -1.6562283690243624
президента -1.655475595269988
силой -1.6522105687430741
увеличена -1.6518853183564013
причинам -1.6517596243799901
сбоев -1.6508206717608707
поднял -1.6459154081321135
австралиец -1.6444795602450584
солидную -1.6439259323862552
трендовой -1.6436990817608206
запад -1.643298774092636
основанное -1.6430462517818771
замедлению -1.6429779477403954
продавить -1.6404595255350125
любых -1.6393548639220534
лаггард -1.6380914015676011
лейна -1.6379022565800512
позитивное -1.6364871611508418
оправдается -1.633479084605017
устоит -1.6334355741142403
советом -1.6325560638690677
куперман -1.6320406219363028
вернут -1.6316878764827571
дистиллятов -1.6312966391906243
истерика -1.6278858959142086
сто -1.6264542282776682
одновременно -1.623946549035711
примеру -1.6236529495035184
появились -1.6232257097868599
позитивный -1.6221561059395548
снижался -1.6209770755574924
таргетирования -1.6205382870733769
преодоления -1.6192599281841484
вуйнович -1.6191679604626612
переходе -1.6179385928032182
рыболовства -1.6175175755002662
опубликована -1.615687108662013
фунтапока -1.6137407532680634
британиирезультативный -1.6137407532680634
распродажами -1.611809467953984
обратно -1.611702115673592
перехода -1.6098466143567893
оглашения -1.607383042013597
трехлетним -1.605742361825002
отрицательных -1.605259262944959
переписи -1.604121774166247
возобновила -1.6039291131980247
тренду -1.6035879139969123
снижению -1.6002246651290966
вектор -1.600051524372449
нулевое -1.5997582935692214
канадскому -1.5996531535981935
преспокойно -1.5991945450098954
выполнен -1.5987074776229098
возможном -1.598303169038499
карантинных -1.5979146137467477
привела -1.5958963178018974
сделке -1.594555838680103
основания -1.5930322260362935
обвиняет -1.5924657946181393
вытекающими -1.5920585201263349
представленному -1.5918532730914172
признании -1.5916327103434023
безубыток -1.588593961639679
предоставит -1.586593818995971
предварительного -1.5860255330636388
опасениями -1.5859402025877212
коронавирусе -1.5857398803336087
рассматривают -1.585530922051566
состояться -1.5853672213477359
августом -1.5852322805332013
риторику -1.5845172303297541
объявит -1.584105648278782
опасений -1.5834063692037497
остался -1.580904098813032
опоры -1.5801115272999202
англиитаким -1.579976631805188
пришло -1.5794523835027914
мягкая -1.578644157384467
еврокомиссии -1.577810646644252
рискнули -1.5771595618211607
пытается -1.5770607871209434
налог -1.5763834876218932
привлекательности -1.57545733914694
разведка -1.573518622518236
вышла -1.5732458975734331
пытаются -1.5730442829436277
президентскими -1.5687471234568053
усилению -1.5683189057008167
долгосрочном -1.5674844200055706
состоялось -1.564268977845818
сверхмягким -1.5642537936687804
следующих -1.562233459380563
развернули -1.5621535949874161
совместной -1.5598541585750223
претензии -1.5586959180472102
максимально -1.557454936877712
обязан -1.5552750954883352
финансовых -1.554413423677355
репо -1.5540926329048503
пересмотренным -1.5531726514035018
понимаю -1.5528329406820103
брейнард -1.5527623607377028
протестировали -1.5517471249160883
сохранил -1.551058680512391
касается -1.5510346862134894
поднявшись -1.5494875878876262
макглоун -1.549243121064623
негативны -1.5482458765756595
доходностью -1.5464556553033324
обычный -1.5452007035268425
стенах -1.5420686415142113
прогнозируемых -1.5396805358815455
подтолкнут -1.5379272883860733
спреда -1.5361609816337154
конкурентов -1.5353200906097397
существенным -1.5319219927699466
солнца -1.529927516975426
кого -1.5282483792233306
избежание -1.5274022353235222
временных -1.5273621117319556
кристин -1.5272502563249926
обсуждаться -1.5267353380740762
ипотечного -1.5263818201094987
самолетов -1.5254995785856935
исключил -1.5249377419325927
минус -1.5247596315354084
ный -1.5235712187075103
недоверия -1.5233677069939617
отчетов -1.5200761486969612
горизонте -1.5193991613231037
недельное -1.518696351558944
медвежий -1.5185556502778383
курода -1.517833864821065
победу -1.515000307379189
насчет -1.5138038685927384
книги -1.5136641577497496
подобное -1.5127659022028375
финансирования -1.511713112540935
десятилетие -1.5112105059948757
участвующих -1.5090733874257822
отравления -1.5089072659754552
войны -1.5076075499634898
оказала -1.5051191007757843
сначала -1.5045397568828802
сентябрьской -1.5035513459840053
поднебесная -1.5033714896840638
придерживаться -1.5031733347971847
предстоящие -1.501885640987461
организации -1.4994756911865403
рассматривается -1.499350063661143
отразит -1.4986895083867762
технике -1.4977533312291613
лавров -1.496802246327673
заметному -1.4961812490882942
отчетную -1.495805209879614
работе -1.4957997194247992
сложившейся -1.495313109934403
электроэнергию -1.4952370247596953
интересов -1.4939144909383741
новостей -1.492400448341995
контроля -1.4921495438450527
голубиную -1.4913510026370398
движется -1.4908701560138955
сосредоточили -1.4904396159840079
индексами -1.4902379846391896
устремиться -1.4898587774591878
вырвался -1.4898139235526027
движение -1.4878554521726426
спровоцированный -1.4877984622667326
вовсе -1.4871551258356104
усугубится -1.4866622704683712
таковым -1.4864410719703138
считали -1.4861968734330413
поднята -1.4854040434759548
графика -1.4853330067814832
предполагаем -1.4852100642441235
составит -1.4838450614354708
второе -1.482205294588716
указанного -1.481939481646879
торгах -1.4815882027556975
военной -1.48064550484082
выступление -1.48060433018405
виден -1.479863610462067
программами -1.477768312829152
заявлением -1.4772151688865454
одновременным -1.4760425357233429
новозеландский -1.4748770620054965
досрочного -1.4739355231807565
ввода -1.473103303414185
мэйн -1.4728967208845383
заблокировать -1.4724015158997255
остальные -1.4723775937724968
экстремальная -1.4721228427648347
затрагивает -1.4720739308795994
закрепился -1.4720661401137107
видна -1.4695618796136816
начинающим -1.4690986265997408
плавного -1.4681253766677549
скандалов -1.4669409245687601
праздникам -1.4666423836245928
появится -1.466351796920489
размеру -1.4654138483486483
месяцев -1.463979753855996
упали -1.4629491195849669
старается -1.4622035815491512
кажется -1.4610670990744672
хотели -1.4598616951078143
коллегам -1.458756906928052
близок -1.4565831723108251
экстренно -1.454960630568887
предпочитают -1.4549002738016215
немецкий -1.4544016883959328
жестче -1.454401538751551
увидели -1.45421729574662
настаивает -1.4537472123163973
реальные -1.4532429184091489
сомнений -1.4518466717087974
прогнозе -1.4514592587981971
краеугольным -1.4513758872877722
суде -1.4504494253533706
подтвердить -1.4503381687306962
нонфарм -1.449296681248624
рекордные -1.449196858464299
предупредив -1.4487187558140193
продолжении -1.4471729745964588
правительственные -1.44643473589552
пределы -1.4464002466664636
байдена -1.4458337512342005
месячном -1.4455098645390503
далласа -1.4449810302234636
августовский -1.4448851259537734
иной -1.4446604385079234
прогноза -1.443954404044829
прессы -1.443738224813562
сваливания -1.4435376974847969
договориться -1.4419645048740302
пойдет -1.4416804189148995
состоялись -1.4410529248018356
обзора -1.4403691819876574
крупной -1.4401428501495233
закрытие -1.4381288586116625
нервозности -1.43784917405747
проигнорировал -1.4377737665087986
рекордных -1.4366542436747214
дипломатов -1.436327547971752
целесообразно -1.4354787245520948
использовать -1.4341133460523094
утверждают -1.4318353856879629
старшего -1.4311080095531223
капитализации -1.4295713037595905
дезормо -1.42900176905722
получать -1.42820685016879
недавнем -1.4270659758588091
показателях -1.426901218058507
рестрикция -1.4259348443620636
наглядно -1.4259256860895089
участников -1.4257354866818321
дональду -1.4256268152565394
свалит -1.4249719556226397
государственной -1.4248460147161612
законодательно -1.4247581891214267
смещен -1.4246272118129313
высоким -1.4246011460047516
импортных -1.4238639683041852
требуют -1.4230774188538586
выглядеть -1.4226151559719429
коллега -1.421505162471903
наибольший -1.419335615072621
ставку -1.4175822750314504
прежний -1.4173554968450928
гадать -1.4172127323017973
традиционно -1.4170662461734775
зачастую -1.4169762902151932
увеличиваются -1.4164928787951738
ограниченной -1.414651454595771
инфляционных -1.4142511597038117
фазы -1.41411758771402
триллионы -1.4128536227540234
ключевыми -1.4122155123597526
борису -1.4121949169673171
сигналы -1.4121695166424684
противоположные -1.41032890567221
тромбов -1.4096986971215024
поверить -1.4087001421982266
мишель -1.408254548622724
момента -1.4082330682373787
лордов -1.4070298023195666
показать -1.4067246927041164
политиков -1.4064026026217011
повлияло -1.4063222688218922
корректировки -1.4062021166164036
играть -1.4055158576986295
шорты -1.4049367987385946
бензин -1.4038071282241347
процентная -1.4036034149170975
институт -1.4019574413356368
двойная -1.4019284783984727
намек -1.4010135805236534
остановит -1.400775149997638
такое -1.3995771715449334
явлением -1.3994069872356045
сегодняшнюю -1.3994028722284617
завершилось -1.3990040746563706
перекрыли -1.3968464930536675
стимулирования -1.3965102208476903
перебои -1.3959262412987594
личного -1.3954933759020456
апреля -1.3953533513251728
классике -1.3953382768657152
огромная -1.395075376045292
коронабондов -1.3948856257617315
мира -1.3940667638863553
разрезе -1.3935180931935258
реализация -1.3934178717418992
федерального -1.393147276949154
выгоду -1.3923765727606598
рбнз -1.3919373544877505
предпоследнего -1.3918621959272515
увидим -1.3909128227264353
региональные -1.3891534211746537
германия -1.388814007471021
ускорить -1.3875456081062385
находилась -1.3867225179564788
шелтон -1.3866138114425735
континентальной -1.386537453972436
голосование -1.3858287159390112
гринбек -1.385277855377595
ипотеке -1.384927276507494
лучшей -1.3837022061441457
остатке -1.3822582347811898
возврат -1.3817156594659947
сложившийся -1.381620696734581
приемлемым -1.381293966876256
позднее -1.3805854178322283
никакого -1.3798778378254541
скважины -1.379073779679055
стимулирующие -1.3788942474962569
криптопространстве -1.3787512181301904
переговорах -1.3785812294671136
переноса -1.3784692306317885
давно -1.3768433186962616
максимумов -1.3768173660840586
усиливаются -1.3764073910872365
мичиганского -1.3760277595046313
виде -1.375851627724211
предполагают -1.3757670958161121
проанализировать -1.3756643341084356
возобновил -1.375011468038822
важный -1.3738145303159952
распродажей -1.3736124996148769
спаде -1.3729594651375567
действующему -1.372671899281717
выполнения -1.372573338724018
обнадеживающие -1.3725475118434591
угрозу -1.3723433099939135
запуск -1.3723291989199493
экстренные -1.3721335529287426
пыталась -1.3697752182512435
закрыл -1.3692635859629927
растущим -1.3687560412399973
лафорж -1.3673691308167422
двигаться -1.364924623184024
мск -1.3643085579416583
наметившийся -1.363842419581851
настроение -1.3632207160801462
воздействия -1.3627807019313338
продажам -1.3626107603636957
афганистане -1.3616336016874684
роли -1.36104018815165
заголовков -1.36081983919256
пик -1.360193463037572
ожидаю -1.359887306553217
потенциала -1.3595735011699122
ужесточают -1.3590174552569354
пузыря -1.3586711062099368
опуститься -1.358585143591999
взятой -1.3583050775515904
введут -1.3579372386817095
июнем -1.3576676924286561
четверга -1.3570163573055887
нонфармов -1.356190379162129
пригрозил -1.355906330994678
локальным -1.3545304471511257
отметок -1.3543216128509055
показывает -1.3542567414449431
готовит -1.354239596135182
каждой -1.3539808512624796
баланса -1.3536509841415603
десять -1.3533756705871178
понижения -1.352378575945862
выпуску -1.3522968294046018
этому -1.351937881839926
геополитические -1.3515796604467611
промпроизводства -1.3510634146477594
сворачиваться -1.3508356456831125
чистой -1.3508179414903299
подрастает -1.3501995145187853
абстрагируясь -1.349927767008128
отч -1.3494194946031108
решений -1.3489048371394312
будем -1.348813995894608
повышенную -1.3480620650736614
сделаем -1.34771103110722
предполагаемые -1.3464641331180278
решительные -1.3462116350710873
усилий -1.3460869274296006
основную -1.345956230339787
вливает -1.3454385796281736
создаст -1.341854702649678
достигает -1.3415423779723483
несельскохозяйственном -1.3409488191806374
курсе -1.3391657342555106
риску -1.3385325408608995
поднялась -1.3374859937623242
денежная -1.337309469660511
исполнения -1.3356264429307199
капитальные -1.335101541342828
цепочками -1.3339017303770104
целевое -1.332888789589392
распространение -1.3321463408655172
состоится -1.3314123216443512
паузы -1.3300207112640343
успеют -1.3298070979073513
волатильным -1.3297231590875098
изменить -1.3292432275360968
сухом -1.3287919033615199
затянулась -1.3286016302817532
нным -1.3282860256712894
вакцинировать -1.3282358351413608
сезонный -1.3280140472441546
отдал -1.326366794703033
украинского -1.326010512307902
ясности -1.3251023251548144
заметного -1.3240892146216732
ий -1.3234405769120807
контанго -1.3233189684032467
вотум -1.3226382363131952
выявили -1.3216279530591568
латвии -1.3214753742715866
давности -1.3207703016104915
дезинфляции -1.3205745987007693
